binomial,kingdom,phylum,class,order,family,genus,species
Carex lurida,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,lurida
Orontium aquaticum,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Orontium,aquaticum
Scirpus sylvaticus,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Scirpus,sylvaticus
Schuettea scalaripinnis,Animalia,Chordata,Actinopterygii,Perciformes,Monodactylidae,Schuettea,scalaripinnis
Amazilia beryllina,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Amazilia,beryllina
Anania hortulata,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania,hortulata
Nassella pulchra,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Nassella,pulchra
Dactylorhiza viridis,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dactylorhiza,viridis
Sagittaria lancifolia,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Sagittaria,lancifolia
Diplodus vulgaris,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Diplodus,vulgaris
Bromus tectorum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,tectorum
Liparis liliifolia,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Liparis,liliifolia
Scorpaena jacksoniensis,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena,jacksoniensis
Calochortus leichtlinii,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Calochortus,leichtlinii
Uvularia sessilifolia,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Uvularia,sessilifolia
Yucca filifera,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,filifera
Crocus vernus,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocus,vernus
Erythronium sibiricum,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Erythronium,sibiricum
Miscanthus sinensis,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,sinensis
Nolina parryi,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Nolina,parryi
Scarus ghobban,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,ghobban
Orchis militaris,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,militaris
Fritillaria recurva,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Fritillaria,recurva
Iris lacustris,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Iris,lacustris
Arisaema dracontium,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Arisaema,dracontium
Polistes metricus,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes,metricus
Commelina erecta,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,erecta
Himantoglossum hircinum,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Himantoglossum,hircinum
Andropogon virginicus,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Andropogon,virginicus
Lepomis gulosus,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gulosus
Upeneichthys lineatus,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Upeneichthys,lineatus
Medeola virginiana,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Medeola,virginiana
Pseudolabrus guentheri,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Pseudolabrus,guentheri
Tillandsia usneoides,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,usneoides
Herichthys cyanoguttatus,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Herichthys,cyanoguttatus
Typha angustifolia,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,angustifolia
Triantha glutinosa,Plantae,Tracheophyta,Liliopsida,Alismatales,Tofieldiaceae,Triantha,glutinosa
Micropterus dolomieu,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,dolomieu
Acrolophus popeanella,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Acrolophus,popeanella
Streptopus amplexifolius,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Streptopus,amplexifolius
Diuris orientis,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diuris,orientis
Cotinis nitida,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cotinis,nitida
Sisyrinchium angustifolium,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Sisyrinchium,angustifolium
Eleocharis palustris,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Eleocharis,palustris
Valgus hemipterus,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Valgus,hemipterus
Earina mucronata,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Earina,mucronata
Hypanus americanus,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,americanus
Setaria faberi,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Setaria,faberi
Haemulon flavolineatum,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,flavolineatum
Megaptera novaeangliae,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Megaptera,novaeangliae
Girella tricuspidata,Animalia,Chordata,Actinopterygii,Perciformes,Girellidae,Girella,tricuspidata
Microspathodon chrysurus,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Microspathodon,chrysurus
Leucobryum glaucum,Plantae,Bryophyta,Bryopsida,Dicranales,Leucobryaceae,Leucobryum,glaucum
Polygonatum pubescens,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Polygonatum,pubescens
Carex pumila,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,pumila
Thalia geniculata,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Thalia,geniculata
Strategus aloeus,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Strategus,aloeus
Tridens flavus,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Tridens,flavus
Yucca brevifolia,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,brevifolia
Lumbricus terrestris,Animalia,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,terrestris
Zephyranthes drummondii,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,drummondii
Cyperus esculentus,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,esculentus
Chrysis angolensis,Animalia,Arthropoda,Insecta,Hymenoptera,Chrysididae,Chrysis,angolensis
Milla biflora,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Milla,biflora
Platanthera dilatata,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,dilatata
Calamagrostis epigejos,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Calamagrostis,epigejos
Phyllopertha horticola,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Phyllopertha,horticola
Cypripedium calceolus,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium,calceolus
Hilaria rigida,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Hilaria,rigida
Ipheion uniflorum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Ipheion,uniflorum
Smilax laurifolia,Plantae,Tracheophyta,Liliopsida,Liliales,Smilacaceae,Smilax,laurifolia
Kniphofia uvaria,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Kniphofia,uvaria
Astelia nervosa,Plantae,Tracheophyta,Liliopsida,Asparagales,Asteliaceae,Astelia,nervosa
Ophthalmolepis lineolata,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Ophthalmolepis,lineolata
Cephalanthera damasonium,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,damasonium
Epipactis helleborine,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epipactis,helleborine
Cortaderia selloana,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cortaderia,selloana
Carex granularis,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,granularis
Cephalanthera austiniae,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,austiniae
Platanthera aquilonis,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,aquilonis
Colchicum autumnale,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,autumnale
Astraeus hygrometricus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Astraeaceae,Astraeus,hygrometricus
Eriocaulon aquaticum,Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Eriocaulon,aquaticum
Orectolobus maculatus,Animalia,Chordata,Elasmobranchii,Orectolobiformes,Orectolobidae,Orectolobus,maculatus
Haemulon sciurus,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,sciurus
Phoenix reclinata,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Phoenix,reclinata
Toxicoscordion venenosum,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Toxicoscordion,venenosum
Coris julis,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coris,julis
Viburnum edule,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,edule
Trillium flexipes,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium,flexipes
Lilium superbum,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Lilium,superbum
Condylura cristata,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Condylura,cristata
Laetiporus conifericola,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,conifericola
Spiranthes vernalis,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes,vernalis
Glyceria striata,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Glyceria,striata
Bromelia pinguin,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Bromelia,pinguin
Semotilus atromaculatus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Semotilus,atromaculatus
Triteleia ixioides,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Triteleia,ixioides
Ficinia nodosa,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Ficinia,nodosa
Laetiporus sulphureus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,sulphureus
Sparisoma aurofrenatum,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Sparisoma,aurofrenatum
Erinaceus roumanicus,Animalia,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,roumanicus
Talpa europaea,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Talpa,europaea
Setaria pumila,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Setaria,pumila
Calochortus luteus,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Calochortus,luteus
Allium acuminatum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,acuminatum
Cephalanthera rubra,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,rubra
Agropyron cristatum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Agropyron,cristatum
Hydrocotyle ranunculoides,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hydrocotyle,ranunculoides
Nemastylis geminiflora,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Nemastylis,geminiflora
Polytrichum piliferum,Plantae,Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum,piliferum
Arethusa bulbosa,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arethusa,bulbosa
Maianthemum dilatatum,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Maianthemum,dilatatum
Amazilia tzacatl,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Amazilia,tzacatl
Ehrharta erecta,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Ehrharta,erecta
Tigridia pavonia,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Tigridia,pavonia
Ganoderma tsugae,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,tsugae
Ocreatus underwoodii,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Ocreatus,underwoodii
Typha domingensis,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,domingensis
Sisyrinchium montanum,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Sisyrinchium,montanum
Phalaris arundinacea,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phalaris,arundinacea
Leopoldia comosa,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Leopoldia,comosa
Cypripedium montanum,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium,montanum
Carex gracillima,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,gracillima
Monstera deliciosa,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Monstera,deliciosa
Tetraclita rubescens,Animalia,Arthropoda,Hexanauplia,Sessilia,Tetraclitidae,Tetraclita,rubescens
Lessertia frutescens,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lessertia,frutescens
Acrolophus arcanella,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Acrolophus,arcanella
Campostoma anomalum,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
Hydrocotyle umbellata,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hydrocotyle,umbellata
Carex eburnea,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,eburnea
Anacamptis pyramidalis,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,pyramidalis
Neotinea ustulata,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neotinea,ustulata
Archilochus colubris,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,colubris
Boophone disticha,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Boophone,disticha
Yucca treculeana,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,treculeana
Viburnum rafinesquianum,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,rafinesquianum
Platanthera transversa,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,transversa
Polistes bellicosus,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes,bellicosus
Yucca rupicola,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,rupicola
Butomus umbellatus,Plantae,Tracheophyta,Liliopsida,Alismatales,Butomaceae,Butomus,umbellatus
Platanthera chlorantha,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,chlorantha
Milium effusum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Milium,effusum
Leucojum aestivum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Leucojum,aestivum
Arundinaria gigantea,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Arundinaria,gigantea
Luzula campestris,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Luzula,campestris
Lachnanthes caroliniana,Plantae,Tracheophyta,Liliopsida,Commelinales,Haemodoraceae,Lachnanthes,caroliniana
Platanthera ciliaris,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,ciliaris
Cyathus striatus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Nidulariaceae,Cyathus,striatus
Scardinius erythrophthalmus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Scardinius,erythrophthalmus
Girella zebra,Animalia,Chordata,Actinopterygii,Perciformes,Girellidae,Girella,zebra
Hymenocallis littoralis,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Hymenocallis,littoralis
Etlingera elatior,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Etlingera,elatior
Allium vineale,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,vineale
Yucca filamentosa,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,filamentosa
Stenotaphrum secundatum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Stenotaphrum,secundatum
Scilla forbesii,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Scilla,forbesii
Hydrocotyle moschata,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hydrocotyle,moschata
Acianthus caudatus,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthus,caudatus
Uniola paniculata,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Uniola,paniculata
Carex spicata,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,spicata
Pimephales notatus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,notatus
Phoenix dactylifera,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Phoenix,dactylifera
Cenchrus setaceus,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,setaceus
Smilax glauca,Plantae,Tracheophyta,Liliopsida,Liliales,Smilacaceae,Smilax,glauca
Cheilodactylus vestitus,Animalia,Chordata,Actinopterygii,Perciformes,Cheilodactylidae,Cheilodactylus,vestitus
Bloomeria crocea,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Bloomeria,crocea
Orchis purpurea,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,purpurea
Ornithogalum umbellatum,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Ornithogalum,umbellatum
Yucca schidigera,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,schidigera
Bromus rubens,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,rubens
Nama hispida,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Nama,hispida
Dactylorhiza majalis,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dactylorhiza,majalis
Archosargus probatocephalus,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Archosargus,probatocephalus
Agave shawii,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,shawii
Zebrasoma flavescens,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Zebrasoma,flavescens
Asparagus scandens,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,scandens
Morone americana,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,americana
Iris setosa,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Iris,setosa
Trillium cernuum,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium,cernuum
Juncus bufonius,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,bufonius
Aetobatus narinari,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus,narinari
Pogonia ophioglossoides,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogonia,ophioglossoides
Ganoderma sessile,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,sessile
Irpex lacteus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Irpex,lacteus
Sparisoma viride,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Sparisoma,viride
Schoenoplectus tabernaemontani,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Schoenoplectus,tabernaemontani
Schizachyrium scoparium,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Schizachyrium,scoparium
Amaryllis belladonna,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Amaryllis,belladonna
Lutjanus griseus,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,griseus
Musa acuminata,Plantae,Tracheophyta,Liliopsida,Zingiberales,Musaceae,Musa,acuminata
Erythronium oregonum,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Erythronium,oregonum
Selasphorus platycercus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,platycercus
Notolabrus gymnogenis,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Notolabrus,gymnogenis
Carex blanda,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,blanda
Corallorhiza striata,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corallorhiza,striata
Ruscus aculeatus,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Ruscus,aculeatus
Avena barbata,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Avena,barbata
Scoliopus bigelovii,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Scoliopus,bigelovii
Libelloides coccajus,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleontidae,Libelloides,coccajus
Tillandsia utriculata,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,utriculata
Heliconia psittacorum,Plantae,Tracheophyta,Liliopsida,Zingiberales,Heliconiaceae,Heliconia,psittacorum
Ginglymostoma cirratum,Animalia,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,cirratum
Pomoxis annularis,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,annularis
Phyllocladus alpinus,Plantae,Tracheophyta,Pinopsida,Pinales,Podocarpaceae,Phyllocladus,alpinus
Iris virginica,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Iris,virginica
Bromus hordeaceus,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,hordeaceus
Trillium recurvatum,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium,recurvatum
Carex comosa,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,comosa
Sisyrinchium rosulatum,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Sisyrinchium,rosulatum
Tulipa sylvestris,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Tulipa,sylvestris
Acanthurus olivaceus,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,olivaceus
Pandanus tectorius,Plantae,Tracheophyta,Liliopsida,Pandanales,Pandanaceae,Pandanus,tectorius
Alopecurus pratensis,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Alopecurus,pratensis
Myliobatis tenuicaudatus,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,tenuicaudatus
Viburnum acerifolium,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,acerifolium
Thalassoma bifasciatum,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Thalassoma,bifasciatum
Heliodoxa jacula,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Heliodoxa,jacula
Chlorostilbon canivetii,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Chlorostilbon,canivetii
Ostorhinchus limenus,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Ostorhinchus,limenus
Aculops rhois,Animalia,Arthropoda,Arachnida,Endeostigmata,Eriophyidae,Aculops,rhois
Carex oligosperma,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,oligosperma
Carex grayi,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,grayi
Spiranthes romanzoffiana,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes,romanzoffiana
Bouteloua dactyloides,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bouteloua,dactyloides
Chaetura vauxi,Animalia,Chordata,Aves,Caprimulgiformes,Apodidae,Chaetura,vauxi
Gagea lutea,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Gagea,lutea
Whipplea modesta,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Whipplea,modesta
Scalopus aquaticus,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Scalopus,aquaticus
Sagittaria sagittifolia,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Sagittaria,sagittifolia
Prosartes hookeri,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Prosartes,hookeri
Hepatica acutiloba,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Hepatica,acutiloba
Platanthera stricta,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,stricta
Carex pensylvanica,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,pensylvanica
Diuris pardina,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diuris,pardina
Trillium undulatum,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium,undulatum
Carex stipata,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,stipata
Trillium erectum,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium,erectum
Oligocottus maculosus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,maculosus
Allium cernuum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,cernuum
Calochortus umbellatus,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Calochortus,umbellatus
Lolium pratense,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Lolium,pratense
Brunsvigia orientalis,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Brunsvigia,orientalis
Icerya purchasi,Animalia,Arthropoda,Insecta,Hemiptera,Margarodidae,Icerya,purchasi
Pyrorchis nigricans,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pyrorchis,nigricans
Alisma plantago-aquatica,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Alisma,plantago-aquatica
Heterodontus portusjacksoni,Animalia,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,Heterodontus,portusjacksoni
Luxilus cornutus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,cornutus
Exomala orientalis,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Exomala,orientalis
Serenoa repens,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Serenoa,repens
Polytrichum commune,Plantae,Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum,commune
Lutjanus apodus,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,apodus
Lolium arundinaceum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Lolium,arundinaceum
Xerophyllum tenax,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Xerophyllum,tenax
Myxarium nucleatum,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Hyaloriaceae,Myxarium,nucleatum
Triteleia laxa,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Triteleia,laxa
